Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,4,0,1996
2,113,0,1883
3,127,0,1756
4,40,0,1716
5,190,0,1526
6,64,0,1462
7,0,538,2000
8,104,0,1896
9,16,0,1880
10,109,0,1771
11,73,0,1698
12,98,0,1600
13,57,0,1543
14,0,457,2000
15,152,0,1848
16,57,0,1791
17,151,0,1640
18,49,0,1591
19,57,0,1534
20,130,0,1404
21,0,596,2000
22,182,0,1818
23,65,0,1753
24,107,0,1646
25,76,0,1570
26,91,0,1479
27,134,0,1345
28,0,655,2000
29,74,0,1926
30,96,0,1830
31,128,0,1702
32,11,0,1691
33,51,0,1640
34,37,0,1603
35,0,397,2000
36,138,0,1862
37,146,0,1716
38,139,0,1577
39,33,0,1544
40,180,0,1364
41,75,0,1289
42,0,711,2000
43,129,0,1871
44,118,0,1753
45,199,0,1554
46,58,0,1496
47,151,0,1345
48,59,0,1286
49,0,714,2000
